camn,frame,timestamp,cam_received_timestamp,device_timestamp,block_id,x,y,area,slope,eccentricity,frame_pt_idx,cur_val,mean_val,sumsqf_val
6,35328,NaN,1746558008.3958764,481700773098,35541,1046.5812,531.24817,40119.0,0.99026805,1.1784143,0,255,16.099154,2658.1428
6,35328,NaN,1746558008.3958764,481700773098,35541,1098.804,533.0159,40487.0,-0.5704308,1.2084124,1,255,16.426888,2659.163
4,35328,NaN,1746558008.3990805,485950953150,35531,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35328,NaN,1746558008.3991454,501905753082,35538,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35328,NaN,1746558008.3990674,495428491827,35534,131.12866,615.66174,44774.0,-0.034748465,1.6271245,0,255,12.226562,2666.4104
7,35328,NaN,1746558008.3990674,495428491827,35534,87.54858,614.44,45093.0,-0.70662373,1.3223461,1,255,12.417246,2699.7268
6,35329,NaN,1746558008.4060712,481710773385,35542,1046.5929,531.23663,40046.0,1.0430813,1.1812491,0,255,16.099154,2658.1428
6,35329,NaN,1746558008.4060712,481710773385,35542,1098.7977,533.0046,40475.0,-0.57694846,1.207622,1,255,16.71482,2697.4314
4,35329,NaN,1746558008.4101949,485960953437,35532,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35329,NaN,1746558008.4100778,501915753369,35539,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35329,NaN,1746558008.4101129,495438492114,35535,131.15515,615.6445,44919.0,-0.04109035,1.6595533,0,255,12.226562,2666.4104
7,35329,NaN,1746558008.4101129,495438492114,35535,87.54378,614.42664,45206.0,-0.6878992,1.3206547,1,255,12.417246,2699.7268
6,35330,NaN,1746558008.4158013,481720773699,35543,1046.5679,531.2322,40191.0,0.9598897,1.184909,0,255,16.099154,2658.1428
6,35330,NaN,1746558008.4158013,481720773699,35543,1098.8118,533.0174,40576.0,-0.5888886,1.198495,1,255,16.426888,2659.163
4,35330,NaN,1746558008.4190633,485970953724,35533,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35330,NaN,1746558008.4189923,501925753683,35540,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35330,NaN,1746558008.4189918,495448492401,35536,128.76016,615.46844,48038.0,0.06093897,7.6429253,0,248,11.705689,2314.7104
7,35330,NaN,1746558008.4189918,495448492401,35536,87.03385,614.52527,42062.0,-1.7140536,1.2434622,1,255,12.417246,2699.7268
6,35331,NaN,1746558008.4259212,481730773986,35544,1046.5715,531.2397,40207.0,0.96243566,1.1840566,0,255,16.099154,2658.1428
6,35331,NaN,1746558008.4259212,481730773986,35544,1098.8066,533.0139,40493.0,-0.5801532,1.2081258,1,255,16.426888,2659.163
4,35331,NaN,1746558008.4290602,485980954011,35534,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35331,NaN,1746558008.4291377,501935753970,35541,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35331,NaN,1746558008.4290745,495458492688,35537,131.15594,615.6201,44963.0,-0.040801052,1.6450326,0,255,12.226562,2666.4104
7,35331,NaN,1746558008.4290745,495458492688,35537,87.54586,614.41064,45193.0,-0.7147359,1.3194145,1,255,12.417246,2699.7268
6,35332,NaN,1746558008.4359522,481740774300,35545,1098.8159,533.00476,40488.0,-0.576912,1.2097375,0,255,15.897545,2549.8848
6,35332,NaN,1746558008.4359522,481740774300,35545,1046.5728,531.23535,40177.0,0.95419043,1.1852163,1,255,16.099154,2658.1428
4,35332,NaN,1746558008.4391239,485990954325,35535,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35332,NaN,1746558008.439136,501945754284,35542,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35332,NaN,1746558008.4390538,495468493002,35538,131.12761,615.6493,44728.0,-0.030673066,1.6233919,0,255,12.226562,2666.4104
7,35332,NaN,1746558008.4390538,495468493002,35538,87.52723,614.4296,44990.0,-0.72160685,1.3085164,1,255,12.417246,2699.7268
6,35333,NaN,1746558008.445885,481750774587,35546,1098.8171,533.0106,40469.0,-0.57151943,1.2076122,0,252,16.470213,2491.7424
6,35333,NaN,1746558008.445885,481750774587,35546,1046.5978,531.2543,40329.0,0.9343502,1.1998973,1,255,16.099154,2658.1428
4,35333,NaN,1746558008.4490108,486000954612,35536,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35333,NaN,1746558008.4490361,501955754571,35543,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35333,NaN,1746558008.4490376,495478493289,35539,131.13562,615.65717,44741.0,-0.032173887,1.6289246,0,255,12.226562,2666.4104
7,35333,NaN,1746558008.4490376,495478493289,35539,87.567085,614.4355,45166.0,-0.69676185,1.324649,1,255,12.417246,2699.7268
6,35334,NaN,1746558008.4557507,481760774874,35547,1046.5758,531.2434,40191.0,0.9548532,1.1846977,0,255,16.099154,2658.1428
6,35334,NaN,1746558008.4557507,481760774874,35547,1098.8136,533.02466,40547.0,-0.58521414,1.2008457,1,255,16.426888,2659.163
5,35334,NaN,1746558008.4590137,501965754858,35544,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,35334,NaN,1746558008.4590821,486010954926,35537,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35334,NaN,1746558008.4590793,495488493576,35540,131.15935,615.65674,44797.0,-0.034441937,1.6419433,0,255,12.226562,2666.4104
7,35334,NaN,1746558008.4590793,495488493576,35540,87.56977,614.43506,45139.0,-0.6960611,1.3321424,1,255,12.417246,2699.7268
6,35335,NaN,1746558008.4658797,481770775161,35548,1046.5828,531.26526,40388.0,0.89242846,1.1964496,0,255,16.099154,2658.1428
6,35335,NaN,1746558008.4658797,481770775161,35548,1098.8252,533.02625,40370.0,-0.5871096,1.2174948,1,255,16.426888,2659.163
5,35335,NaN,1746558008.4691496,501975755145,35545,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,35335,NaN,1746558008.4691498,486020955213,35538,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35335,NaN,1746558008.4690778,495498493863,35541,131.12262,615.6681,44742.0,-0.031865697,1.6220872,0,255,12.226562,2666.4104
7,35335,NaN,1746558008.4690778,495498493863,35541,87.572525,614.4469,45198.0,-0.6820669,1.3296022,1,255,12.417246,2699.7268
6,35336,NaN,1746558008.4758718,481780775475,35549,1046.601,531.27374,40082.0,0.96732897,1.1988472,0,255,16.099154,2658.1428
6,35336,NaN,1746558008.4758718,481780775475,35549,1098.8291,533.044,40298.0,-0.5944915,1.23102,1,255,16.426888,2659.163
4,35336,NaN,1746558008.4790883,486030955500,35539,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35336,NaN,1746558008.479113,501985755459,35546,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35336,NaN,1746558008.4790797,495508494177,35542,131.17032,615.6555,44817.0,-0.023002962,1.5531355,0,255,12.226562,2666.4104
7,35336,NaN,1746558008.4790797,495508494177,35542,87.53245,614.4478,45062.0,-0.7094803,1.3204517,1,255,12.417246,2699.7268
6,35337,NaN,1746558008.4858663,481790775762,35550,1046.5675,531.2485,40158.0,0.9482277,1.1864767,0,255,16.099154,2658.1428
6,35337,NaN,1746558008.4858663,481790775762,35550,1098.8181,533.0072,40339.0,-0.55346197,1.2002616,1,254,16.426888,2659.163
